id,english work,type,chinese meaning,sentence 1,sentence 2,sentence 3
69,exam,n.,考试；测验,"She stayed up all night studying for her final chemistry exam.","I have to go for a routine eye exam at the optometrist's office tomorrow.","He passed the entrance exam and was admitted to the prestigious school."
70,chronic,adj.,慢性的；长期的,"She suffers from chronic back pain that makes it difficult to sit for long periods.","The country faces a chronic shortage of affordable housing.","He's a chronic procrastinator, always leaving things to the very last minute."
71,entity,n.,实体；存在,"After the merger, the two companies became a single legal entity.","The creature was a strange, shadowy entity that defied description.","A corporation is a separate entity from its owners in the eyes of the law."
72,horizon,n.,地平线；视野；眼界,"The sun slowly dipped below the horizon, painting the sky orange and pink.","Traveling to other countries has really broadened my cultural horizon.","A promising new job opportunity has appeared on the horizon."
73,yield,v.,出产；屈服；给…让路,"This particular type of apple tree will yield a large harvest in the autumn.","The driver failed to yield at the intersection and caused an accident.","After a long and bitter strike, the management finally yielded to the workers' demands."
74,status,n.,地位；状态,"The successful completion of the project enhanced his status within the firm.","You can check the current status of your order on our website.","His high social status gave him access to powerful political figures."
75,classic,adj.,经典的；古典的；最优秀的,"Pride and Prejudice is considered a classic of English literature.","She wore a simple but classic black dress to the gala.","The film has become a cult classic over the years."
76,towels,n.,毛巾,"Could you please bring some fresh towels to the bathroom?","After his swim, he wrapped himself in one of the soft hotel towels.","She hung the damp towels on the rack to dry."
77,psychology,n.,心理学；心理状态,"She decided to major in psychology to better understand human behavior.","Understanding the psychology of the consumer is key to successful marketing.","The pressure of the match affected the whole team's psychology."
78,enormous,adj.,庞大的；巨大的,"The new shopping mall is an enormous structure that dominates the skyline.","She felt an enormous sense of relief when she heard the good news.","The project generated an enormous amount of data for the researchers to analyze."
79,stratification,n.,层理；成层,"The archaeologists carefully documented the stratification of the soil layers.","The rock formation showed clear signs of geological stratification.","The study examined the social stratification present in modern urban society."
80,fungus,n.,真菌；霉菌,"There was a strange fungus growing on the damp basement wall.","Penicillin is derived from a type of fungus.","Athlete's foot is a common infection caused by a fungus."
81,result,n.,结果；成绩,"The accident was a direct result of his reckless driving.","She was very pleased with her exam results.","As a result of the heavy snow, all flights have been cancelled."
82,observable,adj.,显著的；觉察得到的,"There was an observable improvement in the patient's condition after the treatment.","The effects of climate change are now clearly observable around the world.","The star is barely observable without a powerful telescope."
83,input,n.,投入；输入,"I'd like to get your input on this matter before I make a decision.","The agricultural sector requires significant input of labor and capital.","Please input your password to gain access to the system."
84,aquatic,adj.,水生的；水栖的,"Dolphins and whales are examples of aquatic mammals.","The pond is home to a variety of aquatic plants and insects.","She enjoys various aquatic sports, including swimming and kayaking."
85,commodity,n.,商品；货物,"Oil is one of the world's most valuable and traded commodities.","In a socialist system, basic commodities are often subsidized by the state.","Time is a precious commodity that should not be wasted."
86,generous,adj.,慷慨的；大方的,"He was incredibly generous and always willing to help those in need.","The restaurant serves very generous portions of food.","She made a generous donation to the local children's hospital."
87,organism,n.,有机体；生物体,"A single cell is the basic unit of any living organism.","The biologist studied a microscopic organism found in pond water.","The human body is an incredibly complex and resilient organism."
88,history,n.,历史；历史记录,"She has always been fascinated by the history of ancient Egypt.","The two countries share a long and complicated history of conflict.","Please review your medical history before the appointment."
89,in time,phr.,及时；适时,"We arrived at the station just in time to catch the last train.","I hope the ambulance gets here in time to save him.","She realized just in time that she was about to make a terrible mistake."
90,migrate,vi.,移动；移居,"Many species of birds migrate thousands of miles south for the winter.","In the 19th century, many people chose to migrate from Europe to America.","The data will need to be migrated from the old server to the new one."
91,asteroid,n.,小行星,"Scientists believe an asteroid impact led to the extinction of the dinosaurs.","The spacecraft was sent on a mission to study a distant asteroid.","A small asteroid entered Earth's atmosphere and burned up harmlessly."
92,homecoming,n.,归国；同学会,"The town prepared a grand celebration for the soldiers' homecoming.","She was excited to be crowned homecoming queen at the football game.","His family threw a huge party to celebrate his homecoming after years abroad."
93,drowsiness,n.,睡意；困倦,"This cold medication may cause drowsiness, so do not drive after taking it.","The warmth of the fire and the soft music induced a pleasant drowsiness.","He struggled to fight off the drowsiness during the long afternoon lecture."
94,course,n.,科目；课程；过程,"I'm taking an introductory course in computer programming this semester.","The pilot had to change course to avoid the storm.","Of course you can borrow my car; just be careful with it."
95,introvert,n.,内向的人,"As an introvert, she finds large social gatherings exhausting.","He is a classic introvert who recharges his energy by spending time alone.","Don't mistake his quietness for shyness; he's just an introvert."
96,scholarly,adj.,好学的；学术的,"The professor published a scholarly article on medieval literature.","She has a very scholarly approach to her research, valuing accuracy above all.","The library was filled with dusty, scholarly tomes."
97,expansion,n.,膨胀；扩张,"The rapid expansion of the company led to many new job opportunities.","The thermal expansion of metal makes bridges expand slightly in summer heat.","The empire's westward expansion was driven by a desire for more land."
98,participate,vi.,参与；参加,"All students are encouraged to participate in the class discussion.","She was eager to participate in the charity marathon.","Several countries have refused to participate in the negotiations."
99,prosperity,n.,繁荣；成功,"The country enjoyed a long period of peace and economic prosperity.","Hard work and dedication are often seen as the keys to prosperity.","We wish you health, happiness, and prosperity in the new year."
100,adjacent,adj.,邻近的；毗连的,"The hotel is located adjacent to the main train station.","They bought the house and the adjacent plot of land to build a garden.","Please use the adjacent door to enter the conference room."
101,inclination,n.,倾向；爱好,"She has always had an artistic inclination and loves to paint.","I have no inclination to go out in this terrible weather.","His natural inclination was to be generous and forgiving."
102,currency,n.,货币；通货,"The euro is the official currency of many European countries.","The idea that 'knowledge is power' has gained wide currency in the modern world.","You will need to exchange your money for the local currency."
