id,english word,type,chinese meaning,sentence1,sentence2,sentence3
"1","chemical reaction","n.","[化学] 化学反应","The chemical reaction produced a bright yellow gas.","We recorded the temperature change during the chemical reaction.","A catalyst can speed up a chemical reaction without being consumed."
"2","fiscal","adj.","会计的，财政的；国库的","The company's fiscal year ends in June.","The government is introducing new fiscal measures to control inflation.","They hired an expert to analyze their fiscal responsibilities."
"3","Milky Way","","银河；银河系","On a clear night, you can see the Milky Way stretching across the sky.","The Milky Way contains billions of stars and planets.","Astronomers are mapping the structure of the Milky Way galaxy."
"4","chemical","n., adj.","化学制品，化学药品；化学的","Always wear gloves when handling these strong chemicals.","The chemical industry plays a vital role in the economy.","They analyzed the chemical composition of the soil."
"5","add","vi., vt., n.","加；增加；添加；补充说；加法","If you add sugar to the mixture, it will taste sweeter.","She wanted to add a comment at the end of the discussion.","The waiter can add up the bill quickly in his head."
"6","initiate","vt., n., adj.","开始，创始；发起；使初步了解；新加入者","The company plans to initiate a new training program next month.","He was chosen to initiate the peace talks between the two countries.","The ceremony was designed to initiate new members into the society."
"7","impressive","adj.","感人的；令人钦佩的；给人以深刻印象的","The view from the top of the mountain was truly impressive.","She gave an impressive presentation that captured everyone's attention.","His knowledge of history is very impressive for someone so young."
"8","meiosis","n.","[细胞] 减数分裂；成熟分裂","Meiosis reduces the chromosome number by half in reproductive cells.","Errors during meiosis can lead to genetic disorders.","The biology teacher used diagrams to explain the stages of meiosis."
"9","omnivore","n.","[动] 杂食动物；不偏食的人","Bears are omnivores, eating both plants and meat.","As an omnivore, humans can digest a wide variety of foods.","The chef described himself as an omnivore who enjoys everything from salads to steaks."
"10","livable","adj.","适于居住的；生活过得有价值的；宜居的","The city was voted one of the most livable places in the world.","They renovated the old house to make it more livable.","A livable wage is essential for a decent quality of life."
"11","refuge","n., vt., vi.","避难；避难所；庇护；给予…庇护","The family sought refuge from the storm in a nearby cave.","The national park serves as a refuge for endangered species.","Many refugees found refuge in the neighboring country."
"12","designate","vt., adj.","指定；指派；标出；把…定名为；指定的","The manager will designate a team leader for the new project.","This area has been designated as a protected wildlife habitat.","The blue signpost designates the route to the city center."
"13","formal","adj., n.","正式的；拘谨的；有条理的；正式的社交活动","You should wear formal attire to the wedding ceremony.","He has a very formal way of speaking in public.","The invitation requested formal dress for the evening dinner."
