23,vehicle,n.,"车辆；工具；交通工具；运载工具；传播媒介；媒介物","The police are looking for a blue vehicle that was seen in the area.","A bicycle is a more environmentally friendly vehicle than a car.","Language is the primary vehicle for human communication."
25,plumber,n.,"水管工；堵漏人员","We had to call a plumber to fix the leaking pipe under the kitchen sink.","The plumber installed a new faucet and showerhead in the bathroom.","He is currently an apprentice, learning the skills to become a licensed plumber."
34,evacuation,n.,"疏散；撤离；排泄","The fire alarm prompted the immediate evacuation of the entire office building.","Officials issued an evacuation order for coastal residents as the hurricane approached.","The embassy organized the swift evacuation of its citizens from the conflict zone."
46,create,v.,"创造，创作；造成","The chef loves to create new and exciting dishes with seasonal ingredients.","The new policy is intended to create more job opportunities.","The artist used a variety of materials to create a unique sculpture."
50,control,"n., v.","控制；管理；抑制；操纵装置, 控制；管理；抑制","He lost control of his car on the icy road.","It is important to control your spending and stick to a budget.","The pilot used the control panel to navigate the airplane."
52,enforce,v.,"实施，执行；强迫，强制","It is the job of the police to enforce the law.","The school has decided to strictly enforce its dress code policy.","The new regulations will be difficult to enforce without public cooperation."
54,perceive,v.,"察觉，感觉；理解；认知, 感到，感知；认识到","Dogs can perceive sounds at frequencies that humans cannot hear.","I perceive a subtle change in her attitude towards the project.","How we perceive a situation is often influenced by our past experiences."
55,site,"n., v.","地点；位置；场所, 设置；为…选址","This is the proposed site for the new community park.","The company has launched a new website to promote its services.","Archaeologists are working at an ancient burial site."
64,submit,v.,"使服从；主张；呈递；提交, 服从，顺从","All students must submit their final essays by Friday afternoon.","He refused to submit to the unreasonable demands of his captors.","Please submit your application through the online portal."
66,library card,n.,"借书证；图书证","You will need a valid library card to check out any books.","I went to the public library to get my first library card.","The librarian scanned my library card before handing me the stack of books."
69,adhere,v.,"坚持；依附；粘着；追随, 使粘附","All participants must adhere to the rules of the competition.","The wet paint will adhere to almost any surface.","She has always been someone who will adhere to her principles."
72,forgive,v.,"原谅；免除（债务、义务等）, 表示原谅","It can be very difficult to forgive someone who has betrayed your trust.","She asked him to forgive her for forgetting his birthday.","After many years, he was finally able to forgive his father."
73,costume,"n., v.","服装，装束；戏装，剧装, 给…穿上服装","He wore an elaborate pirate costume for the Halloween party.","The actors were dressed in beautiful period costumes for the historical play.","The designer is responsible for creating every costume in the production."
74,attain,"v., n.","达到，实现；获得；到达, 达到；获得；到达, 成就","After years of hard work, she was able to attain her goal of becoming a doctor.","He hopes to attain a high level of fluency in Spanish.","With dedication, it is possible to attain mastery in any skill."
78,power,"n., v., adj.","力量，能力；电力，功率，性能；政权，势力；[数] 幂, 激励；供以动力；使…有力量, 快速前进, 借影响有权势人物以操纵权力的","The storm was so strong that it knocked out the power for the entire town.","Knowledge is often considered the greatest power of all.","A large engine is needed to power the heavy truck."
79,salary,"n., v.","薪水，工资, 给……薪金","The job offers a competitive salary and excellent benefits.","Many employees feel that their salary does not reflect the amount of work they do.","Salary negotiations are a key part of accepting a new position."
85,concentrate,"v., n.","集中；浓缩；全神贯注；聚集, 集中；浓缩, 浓缩，精选；浓缩液","I find it difficult to concentrate with so much noise around me.","You must concentrate on the road when you are driving.","The company decided to concentrate its efforts on the European market."
89,suspend,v.,"延缓，推迟；使暂停；使悬浮, 悬浮；禁赛","The school had to suspend the student for breaking the rules.","The match was temporarily suspended due to heavy rain.","A beautiful chandelier was suspended from the high ceiling."
92,likewise,adv.,"同样地；也","She greeted her teacher politely, and he responded likewise.","You've been a great help to me, and I hope to do likewise for you someday.","He enjoys classical music, and his wife likewise appreciates the orchestra."
96,work,"n., v.","工作；功；产品；操作；职业；行为；事业；工厂；著作；文学、音乐或艺术作品, 使工作；操作；经营；使缓慢前进, 工作；运作；起作用","I have a lot of work to finish before the deadline.","Hard work and perseverance are keys to success.","This old clock doesn't work anymore."
101,alter,v.,"改变，更改, 改变；修改","We had to alter our travel plans due to the unexpected storm.","The tailor can alter the dress to make it fit you perfectly.","The invention of the internet would fundamentally alter modern society."
3,visitor,n.,"访问者，参观者；视察者；候鸟","The museum attracts thousands of visitors from all over the world.","All visitors must sign in at the front desk before entering the building.","We are expecting a visitor from the corporate office later today."
6,vacation,"n., v.","假期；腾出，搬出（房间，座位等）, 休假，度假","Our family is planning a vacation to the beach this summer.","He is taking a much-needed two-week vacation from his stressful job.","Many people from cold climates like to vacation in tropical destinations."
8,decline,"n., v.","下降；衰退；斜面, 下降；衰落；谢绝, 谢绝；婉拒","There has been a steady decline in the manufacturing industry.","She had to decline the invitation to the party because she was busy.","The health of the elderly patient began to decline rapidly."
18,texture,"n., v.","质地；纹理；结构；本质，实质, 使具有浮凸纹理；使质地不平","The silk fabric had a very smooth and soft texture.","The chef added toasted breadcrumbs to give the pasta a crunchy texture.","I love the rough texture of the old wooden table."
19,receptionist,n.,"接待员；传达员","The receptionist greeted the clients as they entered the office.","Please check in with the receptionist upon your arrival for your appointment.","He worked as a hotel receptionist to pay for his college tuition."
20,reallocate,v.,"重新分配；再指派","The manager had to reallocate tasks among the team members to meet the deadline.","Due to budget cuts, the department had to reallocate its financial resources.","The government will reallocate funding from other areas to support the new program."
21,seep,"v., n.","（液体）渗漏，渗透；逐渐移动，渐渐散开, （油、水）渗出地表的地方","Water began to seep through a small crack in the basement wall.","The delicious aroma of baking bread started to seep out of the kitchen.","Doubt began to seep into his mind as he waited for the results."
22,survive,v.,"幸存；生还；幸免于；比……活得长, 存活；继续存在","It was a miracle that anyone could survive such a serious accident.","Many small businesses are struggling to survive in the current economy.","Plants need water and sunlight to survive."
